ANO4,TRIMESTRE,REGION,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2023,3,43,624341,1685260,6353511,0.36351570021677776,0.09826708413662934
2023,3,44,54321,310249,1110879,0.32818155712728386,0.048899115025128746
2023,2,1,1755688,4905108,15844463,0.420386352001958,0.11080766826871949
2023,2,40,224233,1008934,2806174,0.4394478033079916,0.07990701930813984
2023,2,41,159713,455192,1455113,0.4225823011683629,0.10975986057440212
2023,2,42,104440,655411,1843483,0.4121822658521939,0.05665362794232439
2023,2,43,597753,1914397,6342607,0.3960753046814977,0.0942440545346732
2023,2,44,62859,295856,1106999,0.32404274981278214,0.056783249126692976
2023,1,1,1583289,4802821,15808678,0.4039623047543887,0.10015315638663777
2023,1,40,223717,854065,2800010,0.3849207681401138,0.07989864321913136
2023,1,41,149185,481404,1452019,0.434284262120537,0.10274314592302167
2023,1,42,147388,590615,1839665,0.40116162453490173,0.08011676038844029
2023,1,43,446980,1709138,6331803,0.3405219650706126,0.07059284693475144
2023,1,44,51913,312390,1103111,0.33025053689066647,0.04706054059836227
2022,4,1,1172101,5223651,15771727,0.40552008033108866,0.07431659196231333
2022,4,40,229692,1107965,2793422,0.47885962092372725,0.08222602957949067
2022,4,41,182091,496176,1449007,0.46809090639313683,0.12566605958425323
2022,4,42,119918,632004,1835593,0.4096343797345054,0.06532929685393221
2022,4,43,507635,1920826,6320850,0.38419848596312206,0.08031119232381721
2022,4,44,68941,332823,1098832,0.3656282307031466,0.06274025510724114
2022,3,1,1535710,4565749,15734756,0.38776953389045243,0.09759986109730587
2022,3,40,168034,910056,2787052,0.3868209132804124,0.06029094541472495
2022,3,41,109320,481714,1445916,0.4087609515352206,0.07560605180383922
2022,3,42,79455,627269,1831602,0.3858502010808025,0.04338005745789751
2022,3,43,405451,1781165,6309789,0.34654344226090605,0.06425745773749328
2022,3,44,51065,303620,1094878,0.3239493349944012,0.046639899605252826
2022,2,1,1604015,4390889,15697611,0.3818991310206375,0.10218210911201711
2022,2,40,187822,877208,2780325,0.38305953440694884,0.06755397300675281
2022,2,41,136223,420224,1442673,0.38570556182863336,0.09442403094810813
2022,2,42,82996,626573,1827610,0.3882496812777343,0.04541231444345347
2022,2,43,500275,1943529,6298312,0.38800935869801306,0.07943001235886694
2022,2,44,54594,306100,1090686,0.3307037955928654,0.05005473619355158
2022,1,1,1474450,3971913,15661239,0.34776067206432393,0.0941464465231646
2022,1,40,136784,799844,2774130,0.3376294550003064,0.04930698993918814
2022,1,41,126516,377297,1439498,0.34999215004119494,0.08788897240565809
2022,1,42,77391,570772,1823683,0.3554142907511887,0.042436651545252106
2022,1,43,530309,1599038,6287708,0.3386523356364513,0.08434058960753267
2022,1,44,41832,285592,1086739,0.30129037422969085,0.03849314324782675
2021,4,1,1556351,4037742,15623714,0.35805142106415927,0.09961466268519764
2021,4,40,184700,887116,2767603,0.38727230748051655,0.06673645027845396
2021,4,41,149959,400404,1436332,0.38317255342079687,0.10440413497715013
2021,4,42,132428,684140,1819630,0.4487549666690481,0.07277743277479487
2021,4,43,432269,1739788,6276602,0.3460561940999286,0.06886990763473612
2021,4,44,40945,293055,1082615,0.3085122596675642,0.03782046249128268
2021,3,1,1355193,4677472,15586162,0.3870526304038159,0.08694847390909963
2021,3,40,206361,904535,2761003,0.4023523335541468,0.07474131683304944
2021,3,41,166172,415918,1433186,0.4061510508754621,0.115945871645411
2021,3,42,90616,642242,1815580,0.40364952246664976,0.049910221527005146
2021,3,43,528431,1720696,6265277,0.3589828510375519,0.08434279920903737
2021,3,44,51852,294598,1078284,0.3212975431333489,0.04808751683230021
2021,2,1,1667250,4416648,15548375,0.3912883500687371,0.1072298552099496
2021,2,40,259250,1063994,2754481,0.48039685153028827,0.09411936404716532
2021,2,41,167081,482092,1430077,0.4539426897992206,0.1168335691015239
2021,2,42,123268,655128,1811528,0.42969029460212593,0.06804642268847073
2021,2,43,711447,2072185,6253886,0.4451043719057239,0.11376078809239568
2021,2,44,64716,296915,1074145,0.3366686992910641,0.06024884908462079
2021,1,1,1912092,4087089,15511557,0.38675556554380713,0.12326886333847724
2021,1,40,255942,857065,2747935,0.40503396186591023,0.09313975767257959
2021,1,41,170509,460848,1426412,0.44261896282420504,0.11953699211728448
2021,1,42,110735,633518,1807652,0.41172360609232306,0.06125902552039884
2021,1,43,683891,1805185,6242922,0.39870368394799743,0.1095466193554877
2021,1,44,64097,305857,1070194,0.34568872559554625,0.05989287923497982
2020,4,1,2012694,5298953,15473649,0.47252247999162966,0.1300723572054659
2020,4,40,273836,978110,2741325,0.45669375210892543,0.09989184062451552
2020,4,41,109616,551709,1423584,0.464549334637085,0.07700002247847686
2020,4,42,125253,687266,1803522,0.4505179310260701,0.069449111239009
2020,4,43,437502,2118833,6231542,0.4102251096117141,0.07020766288664988
2020,4,44,77626,331287,1066008,0.38359280605774065,0.07281934094303233
2020,3,1,2170723,4253560,15435370,0.41620531286260065,0.14063303957080395
2020,3,40,121984,845489,2734983,0.3537400415285945,0.04460137412188668
2020,3,41,99783,475598,1420397,0.4050846347887246,0.07025007797115877
2020,3,42,72147,584008,1799406,0.36465089034937087,0.04009489798300106
2020,3,43,500805,1679194,6220225,0.3504694765864579,0.08051236088726695
2020,3,44,65132,217549,896377,0.3153594971758535,0.0726613913565386
2020,2,1,2171111,5379276,15397376,0.49036842381455126,0.14100525959747948
2020,2,40,238221,951590,2728313,0.43609769113734387,0.08731439537912256
2020,2,41,164127,485379,1417229,0.45829290820326146,0.1158083838250558
2020,2,42,152897,641533,1795272,0.44251233239308585,0.08516648173647225
2020,2,43,743538,2060230,6209009,0.45156449282002975,0.11975147724862373
2020,2,44,82714,365647,1057521,0.4239736137627527,0.07821499525777739
2020,1,1,1432415,3802839,15359566,0.34084647964662546,0.09325881994321975
2020,1,40,188381,821437,2721517,0.3710496756037166,0.06921911566233097
2020,1,41,157763,409399,1414264,0.40102979358875007,0.11155130866655731
