ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2024,2,Buenos Aires,Buenos Aires,6676146,654280,7330426,15100445,0.48544436935467794,0.44211584493039774,0.0892553857033684
2024,2,Catamarca,Catamarca,97866,5126,102992,232271,0.443413082132509,0.4213440334781354,0.049770855988814665
2024,2,Chaco,Chaco,168637,20907,189544,424451,0.4465627363347006,0.39730616726076745,0.11030156586333516
2024,2,Chubut,Chubut,162935,9860,172795,405414,0.42621863083169303,0.40189781309969563,0.05706183627998496
2024,2,Ciudad Autónoma de Buenos Aires,CABA,1529483,87774,1617257,3005475,0.5381036275463945,0.5088989261264858,0.05427337770063756
2024,2,Corrientes,Corrientes,158425,15488,173913,391257,0.4444981176055636,0.404912883347774,0.08905602226400557
2024,2,Córdoba,Córdoba,821939,71014,892953,1782696,0.5009003217598513,0.4610651507604213,0.07952714196603852
2024,2,Entre Ríos,Entre Ríos,188954,8471,197425,451528,0.43723755780372425,0.4184768164986446,0.04290743320248196
2024,2,Formosa,Formosa,102651,2697,105348,262820,0.4008370748040484,0.39057529868350965,0.025600865702243993
2024,2,Jujuy,Jujuy,170605,7128,177733,359330,0.4946233267470014,0.4747864080371803,0.04010510147243337
2024,2,La Pampa,La Pampa,58454,4964,63418,132320,0.4792775090689238,0.44176239419588875,0.07827430697909112
2024,2,La Rioja,La Rioja,100770,7003,107773,236070,0.45652984284322445,0.42686491294954887,0.06497916917966466
2024,2,Mendoza,Mendoza,490977,31767,522744,1055820,0.49510712053190886,0.4650196056145934,0.060769707543271656
2024,2,Misiones,Misiones,172965,11563,184528,388912,0.4744723742131896,0.44474071255193975,0.06266257695309113
2024,2,Neuquén,Neuquén,145531,9830,155361,322400,0.4818889578163772,0.4513988833746898,0.06327199232754681
2024,2,Río Negro,Río Negro,35543,312,35855,85848,0.4176567887428944,0.41402245829838785,0.00870171524194673
2024,2,Salta,Salta,285775,16562,302337,664986,0.45465167687740793,0.429745889387145,0.05477993100414438
2024,2,San Juan,San Juan,240639,8906,249545,554090,0.45036907361619954,0.43429587251168583,0.035688953896090884
2024,2,San Luis,San Luis,104798,4506,109304,249355,0.43834693509253875,0.4202763128872491,0.04122447485910854
2024,2,Santa Cruz,Santa Cruz,57911,2178,60089,131033,0.45857913655338733,0.44195736951760245,0.03624623475178485
2024,2,Santa Fe,Santa Fe,867600,70124,937724,1902800,0.4928126970779903,0.4559596384275804,0.07478106564404878
2024,2,Santiago del Estero,Santiago del Estero,184796,1340,186136,415929,0.4475186870836128,0.44429698337937484,0.00719903726307646
2024,2,Tierra del Fuego,Tierra del Fuego,79683,5308,84991,178168,0.47702730007633243,0.4472351937497194,0.06245367156522455
2024,2,Tucumán,Tucumán,394818,31118,425936,922924,0.4615071230133792,0.4277903706047302,0.07305792419518425
2024,1,Buenos Aires,Buenos Aires,6481818,686503,7168321,15060849,0.4759572982904217,0.4303753393981973,0.09576900922824187
2024,1,Catamarca,Catamarca,102733,4150,106883,231617,0.4614644002814992,0.44354688990877184,0.03882750297053788
2024,1,Chaco,Chaco,182413,14194,196607,423782,0.46393428696829975,0.43044065108947527,0.07219478451937113
2024,1,Chubut,Chubut,163665,7532,171197,403969,0.42378746884043084,0.40514247380368296,0.04399609806246605
2024,1,Ciudad Autónoma de Buenos Aires,CABA,1529661,86293,1615954,3005315,0.5376987104513171,0.508985247802643,0.05340065373147998
2024,1,Corrientes,Corrientes,157867,12798,170665,390565,0.4369695185180444,0.4042016053665843,0.0749890135645856
2024,1,Córdoba,Córdoba,817505,63616,881121,1780116,0.49497954065914807,0.45924254374434026,0.07219893748985667
2024,1,Entre Ríos,Entre Ríos,190303,8335,198638,450866,0.4405699254323901,0.4220832797327809,0.0419607527260645
2024,1,Formosa,Formosa,106388,3116,109504,262208,0.41762265072003907,0.4057389553331706,0.028455581531268263
2024,1,Jujuy,Jujuy,159945,14177,174122,358555,0.48562145277572477,0.44608219101671986,0.08141992396136043
2024,1,La Pampa,La Pampa,60151,4798,64949,132050,0.4918515713744794,0.4555168496781522,0.07387334677978107
2024,1,La Rioja,La Rioja,102200,5431,107631,235183,0.457647874208595,0.434555218702032,0.050459440124127806
2024,1,Mendoza,Mendoza,500788,24986,525774,1053882,0.49889266540276805,0.47518412877343,0.047522319475668255
2024,1,Misiones,Misiones,182322,9556,191878,387886,0.49467627086308863,0.47004016644065527,0.04980247865831414
2024,1,Neuquén,Neuquén,153090,10475,163565,321479,0.5087890655377179,0.4762052886813758,0.06404181823739798
2024,1,Río Negro,Río Negro,35293,637,35930,85639,0.41955183969920246,0.4121136398136363,0.017728917339270803
