ANO4,TRIMESTRE,AGLOMERADO,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2022,1er Trimestre,Posadas,177349,7412,184761,379169,0.48727875960323763,0.4677307480305616,0.04011669129307592
2022,1er Trimestre,Gran Resistencia,165451,12703,178154,418545,0.42565076634531535,0.39530038586054067,0.07130347901253971
2022,1er Trimestre,Cdro. Rivadavia - R.Tilly,94476,2018,96494,243905,0.3956212459769172,0.38734753285090506,0.020913217402118267
2022,1er Trimestre,Gran Mendoza,491197,33886,525083,1038366,0.5056820042258703,0.4730480389381008,0.06453455929824428
2022,1er Trimestre,Corrientes,158460,7104,165564,384798,0.43026211154943633,0.411800477133457,0.04290787852431688
2022,1er Trimestre,Gran Cordoba,678538,72887,751425,1579124,0.4758492683285163,0.4296926650472034,0.09699836976411484
2022,1er Trimestre,Concordia,61964,5232,67196,162738,0.4129090931435805,0.38075925721097714,0.07786177748675516
2022,1er Trimestre,Formosa,95101,4534,99635,257026,0.3876456078373394,0.37000536910662735,0.04550609725498068
2022,1er Trimestre,Neuquen - Plottier,136574,10924,147498,313969,0.46978523357401525,0.4349919896550296,0.0740620211799482
2022,1er Trimestre,S. del Estero - La Banda,169391,6683,176074,408243,0.43129704612204006,0.414926894031251,0.03795563229096857
2022,1er Trimestre,Jujuy - Palpala,152108,8061,160169,352224,0.45473619060597803,0.43185018624511673,0.05032809095392991
2022,1er Trimestre,Rio Gallegos,51462,3347,54809,126058,0.4347919211791398,0.40824065112884544,0.06106661314747578
2022,1er Trimestre,Gran Catamarca,95628,3121,98749,226932,0.4351479738423845,0.42139495531701127,0.03160538334565413
2022,1er Trimestre,Salta,284199,20794,304993,648575,0.4702509347415488,0.4381898778090429,0.0681786139354018
2022,1er Trimestre,La Rioja,98729,5257,103986,228059,0.4559609574715315,0.43290990489303205,0.05055488238801377
2022,1er Trimestre,San Luis - El Chorrillo,106275,3747,110022,241649,0.4552967320369627,0.4397907709115287,0.03405682499863664
2022,1er Trimestre,Gran San Juan,229159,9612,238771,543681,0.43917481022879223,0.42149532538381884,0.04025614500923479
2022,1er Trimestre,Gran Tucuman - T. Viejo,370560,39166,409726,910150,0.4501741471186068,0.40714167994286654,0.09559071184157217
2022,1er Trimestre,Santa Rosa - Toay,57100,4333,61433,129652,0.4738299447752445,0.4404097121525314,0.07053212442823889
2022,1er Trimestre,Ushuaia - Rio Grande,75158,3627,78785,170635,0.46171652943417235,0.44046063234389193,0.04603668210953862
