ANO4,TRIMESTRE,PROVINCIA,label_provincia,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2024,2,Santiago del Estero,Santiago del Estero,86970,150830,415945,0.5717102020699852,0.20909014412963253
2024,2,Tierra del Fuego,Tierra del Fuego,16754,69971,178186,0.4867105159776862,0.09402534430314391
2024,2,Tucumán,Tucumán,124822,350817,922907,0.515370454444489,0.13524873037044902
2024,1,Buenos Aires,Buenos Aires,3597349,5506170,15060801,0.6044511842364825,0.23885509143902772
2024,1,Catamarca,Catamarca,37780,92811,231565,0.5639496469673742,0.16315073521473453
2024,1,Chaco,Chaco,160928,175981,423759,0.7950486007376835,0.3797630256820504
2024,1,Chubut,Chubut,58895,153561,403958,0.5259358646195892,0.1457948598616688
2024,1,Ciudad Autónoma de Buenos Aires,CABA,255286,508171,3005314,0.2540356847903414,0.08494486765775557
2024,1,Corrientes,Corrientes,54812,158935,390556,0.547288993127746,0.14034351027765546
2024,1,Córdoba,Córdoba,291490,615193,1780109,0.5093412819102651,0.163748399676649
2024,1,Entre Ríos,Entre Ríos,80710,172823,450904,0.5622771144190337,0.1789959725351738
2024,1,Formosa,Formosa,61600,126537,262182,0.7175816799017476,0.2349512933763569
2024,1,Jujuy,Jujuy,68211,121852,358539,0.5301041169858788,0.19024708609105287
2024,1,La Pampa,La Pampa,20857,26947,132066,0.36197052988657186,0.15792861145184983
2024,1,La Rioja,La Rioja,33709,122857,235165,0.66577084174941,0.1433419088724938
2024,1,Mendoza,Mendoza,143418,407656,1053869,0.5229055983238904,0.13608712278281265
2024,1,Misiones,Misiones,80181,132513,387901,0.5483203188442412,0.2067048035452345
2024,1,Neuquén,Neuquén,44967,72567,321482,0.3656005623954063,0.13987408315240044
2024,1,Río Negro,Río Negro,11150,37578,85635,0.5690196765341274,0.13020377182226894
2024,1,Salta,Salta,127478,237922,663270,0.5509068705052241,0.19219623984199496
2024,1,San Juan,San Juan,103143,217738,552920,0.5803389278738335,0.18654235694132967
2024,1,San Luis,San Luis,21260,96307,248542,0.4730266916657949,0.08553886264695705
2024,1,Santa Cruz,Santa Cruz,14733,55432,130490,0.5377040386236493,0.11290520346386697
2024,1,Santa Fe,Santa Fe,388517,607087,1899934,0.5240203080738594,0.20448973490658096
2024,1,Santiago del Estero,Santiago del Estero,120000,156066,415138,0.6649981451950917,0.2890605051814096
2024,1,Tierra del Fuego,Tierra del Fuego,19843,63997,177394,0.4726202690057161,0.11185834921136002
2024,1,Tucumán,Tucumán,174736,372569,921626,0.593847178790529,0.18959534561741964
2023,4,Buenos Aires,Buenos Aires,2546159,4748053,15020351,0.4856219405258905,0.1695139481094683
2023,4,Catamarca,Catamarca,37157,85135,231097,0.5291803874563495,0.1607852979484805
2023,4,Chaco,Chaco,123669,151579,423152,0.6504707528264075,0.2922566831776761
2023,4,Chubut,Chubut,47906,149963,402463,0.4916451947135513,0.11903206008999585
2023,4,Ciudad Autónoma de Buenos Aires,CABA,181812,539241,3005126,0.23994102077583435,0.060500624599434435
2023,4,Corrientes,Corrientes,38912,137054,389825,0.45139742192009236,0.09981914961841852
