ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2021,3er Trimestre,Neuquen - Plottier,0.4092890539758116,72666.67,9800,7.414966326530612
2021,3er Trimestre,S. del Estero - La Banda,0.32384950290679626,38000,8833.33,4.30188841580695
2021,3er Trimestre,Jujuy - Palpala,0.3507569015544618,36933.33400000006,7040,5.246212215909099
2021,3er Trimestre,Rio Gallegos,0.4392522400642349,79300.00000000006,9000,8.811111111111117
2021,3er Trimestre,Gran Catamarca,0.41774158917650084,48000,6000,8
2021,3er Trimestre,Salta,0.42348275761241894,49500,6783.335,7.297295504349999
2021,3er Trimestre,La Rioja,0.30109528494813276,37512.5,9640,3.891338174273859
2021,3er Trimestre,San Luis - El Chorrillo,0.3936066304674455,46666.67,7777.78,5.999998714286082
2021,3er Trimestre,Gran San Juan,0.4080515197511545,50000,8694.05,5.7510596327373324
2021,3er Trimestre,Gran Tucuman - T. Viejo,0.3730049033212026,38750,7000,5.535714285714286
2021,3er Trimestre,Santa Rosa - Toay,0.492321389529522,75233.331,5544.44,13.569148732784557
2021,3er Trimestre,Ushuaia - Rio Grande,0.4772593270774337,87500,12250,7.142857142857143
2021,3er Trimestre,Ciudad de Buenos Aires,0.443952851983056,105000,14312.000000000004,7.336500838457237
2021,3er Trimestre,Partidos del GBA,0.43779449277110416,58040.00000000001,6944.4400000000005,8.357765348969824
2021,3er Trimestre,Mar del Plata - Batan,0.39560291869956643,54000,7333.33,7.363639710745323
2021,3er Trimestre,Rio Cuarto,0.4128826183713272,53925.000000000015,9200,5.8614130434782625
2021,3er Trimestre,San Nicolas - Villa Constitucion,0.40361621409863346,53333.33,7500,7.111110666666667
2021,3er Trimestre,Rawson - Trelew,0.4151102387125434,80000,10000,8
2021,3er Trimestre,Viedma - Carmen de Patagones.,0.3751040849052458,64000,10000,6.4
2021,2do Trimestre,Gran La Plata,0.4844737596932447,53083.33099999999,4750,11.175438105263156
2021,2do Trimestre,Bahia Blanca - Cerri,0.37793773699777944,55000,7866.67,6.991522461219296
2021,2do Trimestre,Gran Rosario,0.38680039485535644,46000,8000,5.75
2021,2do Trimestre,Gran Santa Fe,0.43648249301975284,48500,5125,9.463414634146341
2021,2do Trimestre,Gran Parana,0.3389743577693025,41000,7500,5.466666666666667
2021,2do Trimestre,Posadas,0.37824593122084593,35200,6671.67,5.276040331731036
2021,2do Trimestre,Gran Resistencia,0.3863769707990059,31600.002000000004,5050,6.257426138613862
2021,2do Trimestre,Cdro. Rivadavia - R.Tilly,0.3372196429188534,60000,11666.67,5.142855673469808
2021,2do Trimestre,Gran Mendoza,0.42399512046870313,45000,6333.33,7.105266897508893
2021,2do Trimestre,Corrientes,0.38795805072624034,35300.00000000007,6833.33,5.16585617846644
2021,2do Trimestre,Gran Cordoba,0.45296607157615654,49425.00000000007,6251.667,7.90589134066163
2021,2do Trimestre,Concordia,0.40777616280161055,32500,4375,7.428571428571429
